text,sentiment,positive,neutral,negative
Absolutely wonderful - silky and sexy and comfortable,positive,1,0,0
Love this dress!  ,positive,1,0,0
I had such high hopes for this dress and really wanted it to work for me. ,positive,0.92,0.07,0.02
"I love, love, love this jumpsuit. ",positive,1,0,0
This shirt is very flattering to all due to the adjustable front tie. ,positive,0.55,0.45,0.01
"I love tracy reese dresses, but this one is not for the very petite. ",positive,0.97,0.02,0.01
I aded this in my basket at hte last mintue to see what it would look like in person. ,neutral,0.03,0.96,0.01
"I ordered this in carbon for store pick up, and had a ton of stuff (as always) to try on and used this top to pair (skirts and pants). ",neutral,0.15,0.83,0.02
I love this dress. ,positive,1,0,0
"I'm 5""5' and 125 lbs. i ordered the s petite to make sure the length wasn't too long. ",neutral,0,1,0
Dress runs small esp where the zipper area runs. ,neutral,0,1,0
This dress is perfection! ,positive,1,0,0
"More and more i find myself reliant on the reviews written by savvy shoppers before me and for the most past, they are right on in their estimation of the product. ",positive,0.86,0.13,0
Bought the black xs to go under the larkspur midi dress because they didn't bother lining the skirt portion (grrrrrrrrrrr).  ,positive,0.58,0.27,0.16
This is a nice choice for holiday gatherings. ,positive,1,0,0
"I took these out of the package and wanted them to fit so badly, but i could tell before i put them on that they wouldn't. ",negative,0,0,1
Material and color is nice.  ,positive,1,0,0
Took a chance on this blouse and so glad i did. ,positive,1,0,0
"A flattering, super cozy coat.  ",positive,0.99,0.01,0
I love the look and feel of this tulle dress. ,positive,1,0,0
"If this product was in petite, i would get the petite. ",neutral,0,0.99,0
"I'm upset because for the price of the dress, i thought it was embroidered! ",negative,0,0,1
"First of all, this is not pullover styling. ",neutral,0,0.82,0.18
Cute little dress fits tts. ,positive,1,0,0
"I love this shirt because when i first saw it, i wasn't sure if it was a shirt or dress. ",positive,0.99,0.01,0
"Loved the material, but i didnt really look at how long the dress was before i purchased both a large and a medium. ",positive,1,0,0
I have been waiting for this sweater coat to ship for weeks and i was so excited for it to arrive. ,positive,1,0,0
The colors weren't what i expected either. ,negative,0,0.03,0.97
